Unnamed: 0,variable,value,Age,Id,Positon,Toys,Toy_1,Toy_2,Toy_1_Size,Toy_1_Weight,Toy_2_Size,Toy_2_Weight
24_51,Sit_Large Heavy & Large Heavy,0.0,24,51,Sit,Large Heavy & Large Heavy,Large Heavy,Large Heavy,Large,Heavy,Large,Heavy
24_18,Sit_Large Heavy & Large Heavy,0.0,24,18,Sit,Large Heavy & Large Heavy,Large Heavy,Large Heavy,Large,Heavy,Large,Heavy
24_28,Sit_Large Heavy & Large Heavy,0.0,24,28,Sit,Large Heavy & Large Heavy,Large Heavy,Large Heavy,Large,Heavy,Large,Heavy
24_22,Sit_Large Heavy & Large Heavy,0.0,24,22,Sit,Large Heavy & Large Heavy,Large Heavy,Large Heavy,Large,Heavy,Large,Heavy
24_03,Sit_Large Heavy & Large Heavy,0.0,24,03,Sit,Large Heavy & Large Heavy,Large Heavy,Large Heavy,Large,Heavy,Large,Heavy
24_43,Sit_Large Heavy & Large Heavy,0.0,24,43,Sit,Large Heavy & Large Heavy,Large Heavy,Large Heavy,Large,Heavy,Large,Heavy
24_46,Sit_Large Heavy & Large Heavy,0.0,24,46,Sit,Large Heavy & Large Heavy,Large Heavy,Large Heavy,Large,Heavy,Large,Heavy
24_27,Sit_Large Heavy & Large Heavy,0.0,24,27,Sit,Large Heavy & Large Heavy,Large Heavy,Large Heavy,Large,Heavy,Large,Heavy
24_02,Sit_Large Heavy & Large Heavy,0.0,24,02,Sit,Large Heavy & Large Heavy,Large Heavy,Large Heavy,Large,Heavy,Large,Heavy
24_16,Sit_Large Heavy & Large Heavy,0.0,24,16,Sit,Large Heavy & Large Heavy,Large Heavy,Large Heavy,Large,Heavy,Large,Heavy
12_29,Sit_Large Heavy & Large Heavy,0.0,12,29,Sit,Large Heavy & Large Heavy,Large Heavy,Large Heavy,Large,Heavy,Large,Heavy
24_12,Sit_Large Heavy & Large Heavy,0.0,24,12,Sit,Large Heavy & Large Heavy,Large Heavy,Large Heavy,Large,Heavy,Large,Heavy
12_22,Stand_Small Light & Small Light,0.0,12,22,Stand,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
12_34,Stand_Small Light & Small Light,0.0,12,34,Stand,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
24_29,Stand_Small Light & Small Light,0.0,24,29,Stand,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
12_18,Stand_Small Light & Small Light,0.0,12,18,Stand,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
12_02,Stand_Small Light & Small Light,0.0,12,02,Stand,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
24_06,Stand_Small Light & Small Light,0.0,24,06,Stand,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
24_32,Stand_Small Light & Small Light,0.0,24,32,Stand,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
